,date,name,price,ticker,percentage_change,change
0,2022-01-05 19:50:42.994219,Amazon.com,"3,311.96",AMZN,-1.15,-38.48
1,2022-01-05 19:50:43.590091,Tesla,"1,112.99",TSLA,-3.18,-36.60
2,2022-01-05 19:50:44.351743,Apple,176.53,AAPL,-1.76,-3.17
3,2022-01-05 19:50:44.910482,NVIDIA,279.85,NVDA,-4.46,-13.05
4,2022-01-05 19:50:45.510924,Microsoft,319.51,MSFT,-2.89,-9.50
5,2022-01-05 19:50:46.032465,Oilex,0.1650,OEX.L,0.00,0.0000
